day,count
20220401,0
20220402,0
20220403,0
20220404,0
20220405,0
20220406,0
20220407,0
20220408,0
20220409,0
20220410,0
20220411,0
20220412,0
20220413,0
20220414,0
20220415,0
20220416,0
20220417,0
20220418,0
20220419,0
20220420,0
20220421,0
20220422,0
20220423,0
20220424,0
20220425,0
20220426,0
20220427,0
20220428,20
20220429,70
20220430,144
20220501,163
20220502,116
20220503,145
20220504,184
20220505,210
20220506,113
20220507,120
20220508,86
20220509,26
20220510,36
20220511,22
20220512,30
20220513,25
20220514,62
20220515,82
20220516,40
20220517,36
20220518,13
20220519,30
20220520,25
20220521,93
20220522,119
20220523,47
20220524,30
20220525,45
20220526,35
20220527,47
20220528,87
20220529,112
20220530,46
20220531,22
20220601,34
20220602,35
20220603,26
20220604,89
20220605,107
20220606,45
20220607,38
20220608,23
20220609,41
20220610,26
20220611,94
20220612,127
20220613,34
20220614,20
20220615,25
20220616,29
20220617,32
20220618,83
20220619,113
20220620,26
20220621,15
20220622,20
20220623,29
20220624,29
20220625,52
20220626,87
20220627,30
20220628,22
20220629,21
20220630,16
20220701,20
20220702,38
20220703,55
20220704,27
20220705,19
20220706,15
20220707,28
20220708,18
20220709,63
20220710,83
20220711,30
20220712,22
20220713,18
20220714,22
20220715,29
20220716,73
20220717,98
20220718,97
20220719,26
20220720,23
20220721,24
20220722,24
20220723,73
20220724,105
20220725,55
20220726,24
20220727,20
20220728,19
20220729,23
20220730,63
20220731,80
20220801,25
20220802,21
20220803,20
20220804,19
20220805,24
20220806,33
20220807,49
20220808,32
20220809,35
20220810,27
20220811,43
20220812,58
20220813,73
20220814,70
20220815,103
20220816,46
20220817,58
20220818,34
20220819,55
20220820,56
20220821,61
20220822,45
20220823,42
20220824,23
20220825,16
20220826,26
20220827,74
20220828,88
20220829,49
20220830,40
20220831,35
20220901,12
20220902,28
20220903,62
20220904,64
20220905,33
20220906,22
20220907,30
20220908,19
20220909,32
20220910,83
20220911,95
20220912,31
20220913,25
20220914,25
20220915,25
20220916,30
20220917,66
20220918,53
20220919,91
20220920,18
20220921,19
20220922,28
20220923,128
20220924,115
20220925,127
20220926,57
20220927,39
20220928,34
20220929,84
20220930,62
20221001,55
20221002,94
20221003,52
20221004,37
20221005,25
20221006,22
20221007,24
20221008,78
20221009,124
20221010,79
20221011,44
20221012,42
20221013,31
20221014,72
20221015,144
20221016,178
20221017,90
20221018,94
20221019,70
20221020,63
20221021,90
20221022,137
20221023,219
20221024,107
20221025,60
20221026,56
20221027,102
20221028,62
20221029,173
20221030,150
20221031,88
20221101,49
20221102,93
20221103,231
20221104,145
20221105,186
20221106,185
20221107,81
20221108,63
20221109,83
20221110,86
20221111,86
20221112,150
20221113,203
20221114,126
20221115,106
20221116,61
20221117,63
20221118,87
20221119,136
20221120,172
20221121,91
20221122,90
20221123,163
20221124,118
20221125,133
20221126,176
20221127,163
20221128,88
20221129,61
20221130,74
20221201,40
20221202,59
20221203,135
20221204,140
20221205,75
20221206,75
20221207,55
20221208,56
20221209,75
20221210,97
20221211,144
20221212,56
20221213,52
20221214,32
20221215,56
20221216,66
20221217,126
20221218,114
20221219,44
20221220,46
20221221,27
20221222,30
20221223,17
20221224,63
20221225,96
20221226,56
20221227,36
20221228,45
20221229,40
20221230,45
20221231,73
20230101,18
20230102,24
20230103,30
20230104,18
20230105,18
20230106,24
20230107,52
20230108,80
20230109,46
20230110,13
20230111,19
20230112,13
20230113,18
20230114,33
20230115,63
20230116,22
20230117,9
20230118,23
20230119,12
20230120,32
20230121,45
20230122,83
20230123,26
20230124,10
20230125,6
20230126,7
20230127,16
20230128,22
20230129,16
20230130,22
20230131,32
20230201,12
20230202,12
20230203,17
20230204,54
20230205,66
20230206,20
20230207,24
20230208,17
20230209,28
20230210,10
20230211,105
20230212,86
20230213,32
20230214,17
20230215,20
20230216,28
20230217,14
20230218,40
20230219,54
20230220,43
20230221,30
20230222,17
20230223,48
20230224,62
20230225,71
20230226,64
20230227,26
20230228,23
20230301,29
20230302,15
20230303,21
20230304,90
20230305,106
20230306,35
20230307,38
20230308,28
20230309,44
20230310,66
20230311,0
20230312,0
20230313,0
20230314,0
20230315,0
20230316,0
20230317,0
20230318,0
20230319,0
20230320,0
20230321,0
20230322,0
20230323,0
20230324,0
20230325,0
20230326,0
20230327,0
20230328,0
20230329,0
20230330,0
20230331,0
20230428,16
20230429,105
20230430,120
20230501,111
20230502,91
20230503,201
20230504,224
20230505,214
20230506,218
20230507,154
20230508,57
20230509,53
20230510,43
20230511,45
20230512,64
20230513,107
20230514,143
20230515,66
20230516,63
20230517,50
20230518,51
20230519,79
20230520,132
20230521,163
20230522,62
20230523,85
20230524,48
20230525,52
20230526,66
20230527,133
20230528,155
20230529,66
20230530,30
20230531,58
20230601,36
20230602,26
20230603,130
20230604,137
20230605,55
20230606,67
20230607,48
20230608,63
20230609,48
20230610,131
20230611,128
20230612,67
20230613,65
20230614,56
20230615,31
20230616,60
20230617,100
20230618,188
20230619,85
20230620,56
20230621,54
20230622,40
20230623,59
20230624,135
20230625,176
20230626,53
20230627,50
20230628,28
20230629,35
20230630,51
20230701,86
20230702,128
20230703,58
20230704,39
20230705,76
20230706,85
20230707,79
20230708,124
20230709,107
20230710,81
20230711,69
20230712,45
20230713,34
20230714,86
20230715,176
20230716,162
20230717,171
20230718,55
20230719,49
20230720,67
20230721,48
20230722,116
20230723,101
20230724,39
20230725,20
20230726,31
20230727,26
20230728,31
20230729,88
20230730,96
20230731,67
20230801,30
20230802,46
20230803,30
20230804,55
20230805,88
20230806,95
20230807,56
20230808,23
20230809,38
20230810,57
20230811,85
20230812,103
20230813,141
20230814,98
20230815,83
20230816,68
20230817,60
20230818,63
20230819,67
20230820,137
20230821,45
20230822,38
20230823,41
20230824,51
20230825,54
20230826,81
20230827,99
20230828,49
20230829,45
20230830,33
20230831,33
20230901,35
20230902,68
20230903,90
20230904,46
20230905,56
20230906,45
20230907,60
20230908,30
20230909,96
20230910,77
20230911,31
20230912,21
20230913,38
20230914,47
20230915,27
20230916,100
20230917,114
20230918,99
20230919,34
20230920,58
20230921,25
20230922,30
20230923,125
20230924,126
20230925,46
20230926,28
20230927,33
20230928,18
20230929,41
20230930,96
20231001,107
20231002,37
20231003,24
20231004,17
20231005,37
20231006,50
20231007,77
20231008,113
20231009,144
20231010,42
20231011,31
20231012,30
20231013,34
20231014,71
20231015,82
20231016,30
20231017,29
20231018,125
20231019,29
20231020,26
20231021,156
20231022,85
20231023,57
20231024,33
20231025,27
20231026,32
20231027,40
20231028,84
20231029,75
20231030,58
20231031,33
20231101,23
20231102,42
20231103,136
20231104,166
20231105,148
20231106,44
20231107,36
20231108,71
20231109,57
20231110,51
20231111,88
20231112,117
20231113,50
20231114,42
20231115,40
20231116,40
20231117,61
20231118,92
20231119,168
20231120,59
20231121,83
20231122,63
20231123,131
20231124,131
20231125,113
20231126,165
20231127,54
20231128,37
20231129,44
20231130,36
20231201,23
20231202,100
20231203,131
20231204,41
20231205,38
20231206,41
20231207,25
20231208,45
20231209,138
20231210,105
20231211,45
20231212,31
20231213,60
20231214,64
20231215,45
20231216,115
20231217,66
20231218,34
20231219,37
20231220,24
20231221,26
20231222,21
20231223,50
20231224,62
20231225,32
20231226,34
20231227,36
20231228,79
20231229,89
20231230,77
20231231,215
20240101,24
20240102,24
20240103,25
20240104,36
20240105,19
20240106,55
20240107,50
20240108,26
20240109,35
20240110,12
20240111,25
20240112,16
20240113,42
20240114,67
20240115,21
20240116,9
20240117,17
20240118,22
20240119,29
