id,市町名,親番号,エリア名,エリア説明文,通し番号,緯度,経度,旧エリア名
1,福井市,300001,一乗谷朝倉氏遺跡 エリア,戦国時代に朝倉氏五代が103年間にわたって越前の国を支配した城下町跡。武家屋敷・寺院・町屋・職人屋敷や道路に至るまで町並がほぼ完全な姿で発掘され、国の重要文化財・特別史跡・特別名勝に指定されています。,6,35.997632,136.293101,
2,福井市,300002,越前海岸 北部 エリア,"越前海岸は、福井県敦賀市杉津から、坂井市三国町安島に至る海岸線です。日本海の荒波によって創られた奇岩断崖が続くリアス式海岸で、国定公園にも指定されています。私たちが暮らす福井市越前海岸は、北は東尋坊、南は越前蟹で有名な越前港の間に位置しています。

気づかずに通り過ぎてしまう、どこにでもある海辺の小さな町かもしれませんが、目の前に日本海の広がるこの地には、のんびりと流れる時間があります。恵まれた自然の恩恵を受けた海の幸・山の幸と、豊かな暮らしがあります。ここでの暮らしのひとコマひとコマは、私たちのとっての宝物です。





",7,36.139113,136.0825588,越前海岸 エリア
3,福井市,300003,ガラガラ山キャンプ場 エリア,越前海岸沿いに位置する、自然の恵みをたっぷり吸い込んだ絶好のリゾート地。杉小立の間から真っ青な海を望み、生命感に満ちた緑に囲まれたキャンプ場で、贅沢なアウトドアライフが楽しめます。また、大型犬から小型犬まで自由に遊ぶことができるドッグランも。かわいいワンちゃんと一緒に自然を満喫してみませんか。,,36.00266319,135.9865678,
4,福井市,300004,福井駅前 エリア,"北陸地方の西部に位置する福井県福井市の代表駅。駅を出てすぐにある複合施設「ハピリン」では福井市観光物産館「福福館」やお土産・ギフト専門店「かがみや」など、福井のお食事やお土産が楽しめます。
また西口側の「恐竜広場」では、壁面から飛び出してくるように見える横約7.3m&times;縦約4.6m恐竜トリックアート、壁面にある横約45m&times;縦約10mの巨大な恐竜イラスト、福井で生息していたフクイラプトル、フクイサウルス、フクイティタンの３体の実物大で動くモニュメントがお出迎え！記念撮影スポットとして、恐竜の空間を演出します。付近の商業施設では、多くの恐竜グッズも販売されています。",1,36.061515,136.2224369,
5,福井市,300005,名勝 養浩館庭園 エリア,"養浩館は福井藩主松平家の別邸で、江戸時代には「御泉水屋敷（おせんすいやしき）」と称されていました。庭と密接な関連の基に建造された池の周囲の書院建築の数々と、広大清澄な園池を主体とした回遊式林泉庭園（かいゆうしきりんせんていえん）は江戸中期を代表する名園の一つとして広く知られていました。
福井大空襲で建造物が焼失しましたが、昭和57年に国の名勝に指定されたことが契機となって、文政6年の「御泉水指図」により近年、整備が行われました。現在では、建造物・池だけでなく玉砂利・石組・樹木も四季折々に風趣が漂い、庭園の趣を楽しめます。",4,36.0686158,136.2242662,
6,坂井市,300006,東尋坊 エリア,荒々しい岩肌の柱状節理が延々と1kmに渡って続く勇壮そのものの東尋坊は、国の名勝・天然記念物に指定されています。なかでも岸壁の高さが20メートル以上に及ぶ大地の断崖は勇壮というより壮絶で、日本海の荒波が打ち寄せる姿は恐ろしいほどの迫力です。遊覧船ではライオン岩、ろうそく岩など自然の造形が目を楽しませてくれます。,10,36.2376685,136.1265737,
7,坂井市,300007,芝政ワールド エリア,日本海に面した広大な敷地で数々のアトラクションを楽しめる一大テーマパーク。特に夏にオープンする日本最大級のスケールを誇るプールには関西や中京から多数の観光客が訪れます。季節ごとにマラソンなどのイベントを開催しているほか、オートキャンプ場や屋内イルミネーションなど、年間を通して幅広く楽しむことができます。,12,36.250053,136.178639,
8,坂井市,300008,丸岡城 エリア,丸岡城は、戦国時代の天正4年（1576）に柴田勝家の甥、勝豊によって築かれました。天守（国指定重要文化財）は外観は二層、内部は三階の独立式望楼型天守です。石垣は&rdquo;野づら積み&rdquo;という古い方式で、すき間が多く粗雑な印象ながら排水がよく大雨に崩れる心配がないといわれています。また、とくに春は日本さくら名所100選にも認定された約400本のソメイヨシノが霞ヶ城の別名にふさわしく古城に美しさをそえます。,13,36.152345,136.272103,
9,坂井市,300009,花の駅 ゆりの里公園 エリア,ユリを中心とした夢ある施設で、毎年6月には色とりどりのユリの花が咲き誇り、ユリを愛でるイベント「ゆりフェスタ」が開催されます。園内には、農産物直売「ゆりいち」やレストラン「朝採りたまごダイニング Lily」があり、坂井市のきれいな水で作られた農作物を味わいいただけます。また、夜間にはイルミネーションやプロジェクションマッピングが訪れた人を魅了し、年間通して楽しめる施設です。,14,36.148626,136.188185,
10,坂井市,300010,道の駅みくに ふれあいパーク三里浜 エリア,三里浜で収穫された産地直送の野菜や果実の直接販売、地元の素材を生かした飲食メニュー、そして特産らっきょうの資料館などなど。ドライブに疲れたらちょっと立寄って、フレッシュな自然に触れて心も体もリフレッシュしてください。,15,36.189848,136.139124,
