会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,登録エリア,満足度(商品・サービス),満足度(商品・サービス)の理由
106551,青葉山ハーバルビレッジ エリア,女,1972,50,50代,福井県,越前市,"1,200万円以上 1,500万円未満",mobile/android,2022-06-12 19:01:11,6月,青葉山ハーバルビレッジ エリア,69.青葉山ハーバルビレッジ エリア,高浜町,嶺南西部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"各種体験（手作り、果物狩りなど）
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,1,1,"旅行会社ツアーバス
",0,0,0,0,とても満足,バスガイドさんがいて楽しい。間隔をあけて座るなど配慮されている。,使わない,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",初めて,エルガイアおおい,,UMIKARA,,"1,000円以上 3,000円未満",とても満足,手入れされた木や花、緑に囲まれて気持ちいい。木にぶらさがったブランコやハンモックが楽しい。,感じなかった,,10,薬研を使ったお茶作り体験。普段は出来ないので、楽しい。,囲いがあるハンモックは、落ち着くし気持ちがいい。カフェのアイスやパフェも安いし珍しい味で良かった。,,奇麗な景色をみながら、のんびりした時間を過ごしたい。特別な事を何もしない時間がいい。美味しいスィーツとパン、コーヒーを外で食べたい。美味しいおにぎりとお味噌汁を外で食べたい。,,,
106594,まちの市場 こってコテいけだ エリア,女,1969,53,50代,福井県,坂井市,200万円以上 300万円未満,mobile/android,2022-06-12 17:14:24,6月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,親,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"宿泊施設
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,選択肢なし,,使わない,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",2～5回目,選択なし/該当施設なし,,まちの市場 こってコテいけだ,,"3,000円以上 5,000円未満",満足,欲しかったものが少々高かった,感じなかった,,8,"売店
何でも買える",,福井県在住,他県を参考にしてほしい,,,
106594,まちの市場 こってコテいけだ エリア,女,1969,53,50代,福井県,坂井市,200万円以上 300万円未満,mobile/android,2022-06-12 17:09:58,6月,まちの市場 こってコテいけだ エリア,35.まちの市場 こってコテいけだ エリア,池田町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,親,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"宿泊施設
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",6～10回目,道の駅「越前おおの荒島の郷」,,選択なし/該当施設なし,冠荘,"1,000円以上 3,000円未満",満足,"欲しかったものが少々高かった
駐車場が混んでいた",感じた,駐車場,6,温泉,駐車場を広くしてほしい,福井県在住,他見を参考にしてほしい,,,
106584,web,女,1988,34,30代,福井県,越前市,400万円以上 500万円未満,mobile/iphone,2022-06-12 16:46:34,6月,レインボーライン エリア,59.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光連盟やDMOのHP
Instagram
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",2～5回目,若狭海遊バザール千鳥苑 若狭美浜 海の駅,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",満足,,感じなかった,,9,,,また行きたい（1年以内）,,,,
106585,あわら温泉 エリア,女,1967,55,50代,福井県,小浜市,200万円以上 300万円未満,mobile/iphone,2022-06-12 16:44:51,6月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,日帰り,4泊以上,福井県内には宿泊しない,石川県金沢市,自分ひとり,"スポーツ観戦や芸能鑑賞（コンサート等）
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,金津そうさくの森,選択なし/該当施設なし,芦原ストリップ劇場,"5,000円以上 10,000円未満",とても満足,足湯もいい。ゆのまち横丁,感じなかった,駐車場,2,芦原ストリップ劇場,"らっきょう畑
田嶋牧場",また行きたい（1年以内）,"温泉が日帰りでもたのしめたり、
イベントなり、自主映画祭",,,
106582,ちひろの生まれた家記念館 エリア,女,1977,45,40代,福井県,坂井市,800万円以上 900万円未満,mobile/android,2022-06-12 16:12:39,6月,ちひろの生まれた家記念館 エリア,31.ちひろの生まれた家記念館 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","1,000円以上 3,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,だるまちゃん広場、越前和紙の里,"1,000円未満",満足,こじんまりした施設で子供でも無理なく鑑賞できたし、お土産のポストカードもお手頃だった,感じなかった,,5,興味がある方には楽しめる展示だと思ったから,,福井県在住,"マリンスポーツやパラグライダーなどのアクティビティがもっと利用しやすくなると嬉しいです。
supやパラグライダーをしたいです",,,
106580,日本海さかな街 エリア,男,1965,57,50代,岐阜県,加茂郡,300万円以上 400万円未満,mobile/iphone,2022-06-12 16:04:15,6月,日本海さかな街 エリア,46.日本海さかな街 エリア,敦賀市,嶺南東部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,友人,"地元の美味しいものを食べる
アウトドア（海水浴、釣り、登山など）
",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"インターネット・アプリ
宿泊施設
",0,0,0,0,0,1,0,0,0,0,0,0,0,1,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","40,000円以上 50,000円未満",11回目以上,選択なし/該当施設なし,あけぼの旅館,選択なし/該当施設なし,,"10,000円以上 20,000円未満",とても満足,"毎年利用しています。
主に年末の食材（カニ）の購入が目的です。
カニはハズレがないので満足しています。",感じなかった,,10,内陸の岐阜県なので新鮮な魚介類を勧めたい。,新鮮な魚介類を食べる事が出来るのが一番の魅力です。,また行きたい（1年以内）,趣味の魚釣りと美味しい魚介類が魅力でよく出掛けています。,,,
106579,web,女,1961,61,60代,福井県,福井市,700万円以上 800万円未満,mobile/iphone,2022-06-12 15:57:08,6月,うるしの里 エリア,34.うるしの里 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,使わない,"5,000円以上 10,000円未満",初めて,万葉の里  味真野苑（ミズバショウ・フジ・スイレン・ハギ）,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",とても満足,"パンフレットを見て暇つぶしに程度に思っていたが漆塗りについて知らない事ばかりでとても勉強になりました。
もっと宣伝して無料でなくても良いと思います。",感じなかった,,8,県内でまだまだ知らない場所が沢山あるので行った所はなるべく知人に教えてあげたい、,,福井県在住,一箇所で近場の名産食べ物が揃っているといいです。,,,
106578,web,女,1980,42,40代,石川県,小松市,500万円以上 600万円未満,mobile/android,2022-06-12 15:38:31,6月,金ヶ崎 エリア,49.金ヶ崎 エリア,敦賀市,嶺南東部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
インターネット・アプリ
",0,1,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",6～10回目,敦賀赤レンガ倉庫,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",とても満足,息子が赤レンガのジオラマが大好きで、久しぶりに見たい！と言うので1年以上ぶりに来ました。本当にうれしそうで連れてきた甲斐がありました。,感じなかった,,9,海沿いの公園もすてきです,子どもも食べられる物を扱う飲食店が少ないように思います,また行きたい（1年以内）,越前松島水族館も大好きです,,,
106577,六呂師高原 エリア,女,1955,67,60代,福井県,越前市,100万円未満,mobile/android,2022-06-12 15:31:26,6月,六呂師高原 エリア,18.六呂師高原 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
インターネット・アプリ
",0,1,0,1,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,使わない,"3,000円以上 5,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",満足,,感じなかった,,7,,,福井県在住,,,,
